benchmark,run,result
quadratic,baseline,785
quadratic,valnum-dce,680
quadratic,giga,372
primes-between,baseline,574100
primes-between,valnum-dce,570441
primes-between,giga,531397
orders,baseline,5352
orders,valnum-dce,5353
orders,giga,5405
sum-check,baseline,5018
sum-check,valnum-dce,5018
sum-check,giga,7019
palindrome,baseline,298
palindrome,valnum-dce,295
palindrome,giga,394
totient,baseline,253
totient,valnum-dce,265
totient,giga,404
relative-primes,baseline,1923
relative-primes,valnum-dce,1891
relative-primes,giga,1102
hanoi,baseline,99
hanoi,valnum-dce,107
hanoi,giga,107
is-decreasing,baseline,127
is-decreasing,valnum-dce,112
is-decreasing,giga,106
check-primes,baseline,8468
check-primes,valnum-dce,5911
check-primes,giga,3858
sum-sq-diff,baseline,3038
sum-sq-diff,valnum-dce,2127
sum-sq-diff,giga,1519
fitsinside,baseline,10
fitsinside,valnum-dce,10
fitsinside,giga,10
fact,baseline,229
fact,valnum-dce,208
fact,giga,167
loopfact,baseline,116
loopfact,valnum-dce,88
loopfact,giga,63
recfact,baseline,104
recfact,valnum-dce,81
recfact,giga,69
factors,baseline,72
factors,valnum-dce,72
factors,giga,83
perfect,baseline,232
perfect,valnum-dce,249
perfect,giga,332
bitshift,baseline,167
bitshift,valnum-dce,147
bitshift,giga,86
digital-root,baseline,247
digital-root,valnum-dce,256
digital-root,giga,295
up-arrow,baseline,252
up-arrow,valnum-dce,252
up-arrow,giga,330
sum-divisors,baseline,159
sum-divisors,valnum-dce,167
sum-divisors,giga,182
ackermann,baseline,1464231
ackermann,valnum-dce,1464231
ackermann,giga,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,valnum-dce,76769
pythagorean_triple,giga,76892
euclid,baseline,563
euclid,valnum-dce,395
euclid,giga,252
binary-fmt,baseline,100
binary-fmt,valnum-dce,110
binary-fmt,giga,110
lcm,baseline,2326
lcm,valnum-dce,2326
lcm,giga,2326
gcd,baseline,46
gcd,valnum-dce,46
gcd,giga,51
catalan,baseline,659378
catalan,valnum-dce,659378
catalan,giga,718426
armstrong,baseline,133
armstrong,valnum-dce,130
armstrong,giga,159
pascals-row,baseline,146
pascals-row,valnum-dce,90
pascals-row,giga,59
collatz,baseline,169
collatz,valnum-dce,169
collatz,giga,194
sum-bits,baseline,73
sum-bits,valnum-dce,73
sum-bits,giga,91
rectangles-area-difference,baseline,14
rectangles-area-difference,valnum-dce,15
rectangles-area-difference,giga,16
mod_inv,baseline,558
mod_inv,valnum-dce,453
mod_inv,giga,297
reverse,baseline,46
reverse,valnum-dce,45
reverse,giga,45
fizz-buzz,baseline,3652
fizz-buzz,valnum-dce,2157
fizz-buzz,giga,1704
bitwise-ops,baseline,1690
bitwise-ops,valnum-dce,1813
bitwise-ops,giga,2327
