benchmark,run,result
quadratic,baseline,785
quadratic,giga,422
quadratic,rotate-giga,466
quadratic,ssa-baseline,1447
primes-between,baseline,574100
primes-between,giga,573607
primes-between,rotate-giga,615982
primes-between,ssa-baseline,879738
orders,baseline,5352
orders,giga,6024
orders,rotate-giga,6545
orders,ssa-baseline,8532
sum-check,baseline,5018
sum-check,giga,7024
sum-check,rotate-giga,8024
sum-check,ssa-baseline,8023
palindrome,baseline,298
palindrome,giga,414
palindrome,rotate-giga,439
palindrome,ssa-baseline,507
totient,baseline,253
totient,giga,433
totient,rotate-giga,442
totient,ssa-baseline,547
relative-primes,baseline,1923
relative-primes,giga,1384
relative-primes,rotate-giga,1404
relative-primes,ssa-baseline,4188
hanoi,baseline,99
hanoi,giga,131
hanoi,rotate-giga,131
hanoi,ssa-baseline,137
is-decreasing,baseline,127
is-decreasing,giga,116
is-decreasing,rotate-giga,145
is-decreasing,ssa-baseline,242
check-primes,baseline,8468
check-primes,giga,4356
check-primes,rotate-giga,4754
check-primes,ssa-baseline,16364
sum-sq-diff,baseline,3038
sum-sq-diff,giga,1525
sum-sq-diff,rotate-giga,1725
sum-sq-diff,ssa-baseline,5667
fitsinside,baseline,10
fitsinside,giga,13
fitsinside,rotate-giga,13
fitsinside,ssa-baseline,11
fact,baseline,229
fact,giga,190
fact,rotate-giga,190
fact,ssa-baseline,230
loopfact,baseline,116
loopfact,giga,66
loopfact,rotate-giga,74
loopfact,ssa-baseline,217
recfact,baseline,104
recfact,giga,86
recfact,rotate-giga,86
recfact,ssa-baseline,175
factors,baseline,72
factors,giga,86
factors,rotate-giga,103
factors,ssa-baseline,130
perfect,baseline,232
perfect,giga,339
perfect,rotate-giga,340
perfect,ssa-baseline,437
bitshift,baseline,167
bitshift,giga,103
bitshift,rotate-giga,103
bitshift,ssa-baseline,191
digital-root,baseline,247
digital-root,giga,332
digital-root,rotate-giga,349
digital-root,ssa-baseline,351
up-arrow,baseline,252
up-arrow,giga,352
up-arrow,rotate-giga,359
up-arrow,ssa-baseline,483
sum-divisors,baseline,159
sum-divisors,giga,193
sum-divisors,rotate-giga,215
sum-divisors,ssa-baseline,259
ackermann,baseline,1464231
ackermann,giga,1636466
ackermann,rotate-giga,1636466
ackermann,ssa-baseline,1464232
pythagorean_triple,baseline,61518
pythagorean_triple,giga,77021
pythagorean_triple,rotate-giga,77021
pythagorean_triple,ssa-baseline,108277
euclid,baseline,563
euclid,giga,276
euclid,rotate-giga,275
euclid,ssa-baseline,880
binary-fmt,baseline,100
binary-fmt,giga,137
binary-fmt,rotate-giga,137
binary-fmt,ssa-baseline,145
lcm,baseline,2326
lcm,giga,2587
lcm,rotate-giga,2589
lcm,ssa-baseline,3361
gcd,baseline,46
gcd,giga,54
gcd,rotate-giga,54
gcd,ssa-baseline,78
catalan,baseline,659378
catalan,giga,797160
catalan,rotate-giga,826684
catalan,ssa-baseline,1023511
armstrong,baseline,133
armstrong,giga,174
armstrong,rotate-giga,184
armstrong,ssa-baseline,194
pascals-row,baseline,146
pascals-row,giga,64
pascals-row,rotate-giga,68
pascals-row,ssa-baseline,281
collatz,baseline,169
collatz,giga,200
collatz,rotate-giga,200
collatz,ssa-baseline,259
sum-bits,baseline,73
sum-bits,giga,99
sum-bits,rotate-giga,100
sum-bits,ssa-baseline,102
rectangles-area-difference,baseline,14
rectangles-area-difference,giga,20
rectangles-area-difference,rotate-giga,20
rectangles-area-difference,ssa-baseline,18
mod_inv,baseline,558
mod_inv,giga,328
mod_inv,rotate-giga,341
mod_inv,ssa-baseline,1041
reverse,baseline,46
reverse,giga,48
reverse,rotate-giga,46
reverse,ssa-baseline,84
fizz-buzz,baseline,3652
fizz-buzz,giga,1854
fizz-buzz,rotate-giga,1756
fizz-buzz,ssa-baseline,10410
bitwise-ops,baseline,1690
bitwise-ops,giga,2463
bitwise-ops,rotate-giga,2519
bitwise-ops,ssa-baseline,2409
